ubicacion,key,precio,m2,rooms,bathroom,alcaldia,auction,page,property,operation
"Emiliano Zapata Mz1 Lt8 1, Los Oli...","[118, 101, 110, 116, 97, 32, 99, 97, 115, 97, 32, 101, 110, 32, 101, 109, 105, 108, 105, 97, 110, 111, 32, 122, 97, 112, 97, 116, 97, 32, 108, 111, 115, 32, 111, 108, 105, 118, 111, 115, 32, 116, 108, 225, 104, 117, 97, 99, 101, 109, 105, 108, 105, 97, 110, 111, 32, 122, 97, 112, 97, 116, 97, 32, 109, 122, 32, 108, 116, 32, 32, 108, 111, 115, 32, 111, 108, 105]",2850000,5,280,0,TLAHUAC,False,MC,Departamentos,Venta
"Emiliano Zapata Mz1 Lt8 1, Los Oli...","[118, 101, 110, 116, 97, 32, 99, 97, 115, 97, 32, 101, 110, 32, 101, 109, 105, 108, 105, 97, 110, 111, 32, 122, 97, 112, 97, 116, 97, 32, 108, 111, 115, 32, 111, 108, 105, 118, 111, 115, 32, 116, 108, 225, 104, 117, 97, 99, 101, 109, 105, 108, 105, 97, 110, 111, 32, 122, 97, 112, 97, 116, 97, 32, 109, 122, 32, 108, 116, 32, 32, 108, 111, 115, 32, 111, 108, 105]",2850000,5,280,0,TLAHUAC,False,MC,Departamentos,Venta
"Emiliano Zapata Mz1 Lt8 1, Los Oli...","[118, 101, 110, 116, 97, 32, 99, 97, 115, 97, 32, 101, 110, 32, 101, 109, 105, 108, 105, 97, 110, 111, 32, 122, 97, 112, 97, 116, 97, 32, 108, 111, 115, 32, 111, 108, 105, 118, 111, 115, 32, 116, 108, 225, 104, 117, 97, 99, 101, 109, 105, 108, 105, 97, 110, 111, 32, 122, 97, 112, 97, 116, 97, 32, 109, 122, 32, 108, 116, 32, 32, 108, 111, 115, 32, 111, 108, 105]",2850000,5,280,0,TLAHUAC,False,MC,Departamentos,Venta
Mar De Las Lluvias Lote 5 Manzana ...,"[99, 97, 115, 97, 32, 118, 101, 110, 116, 97, 32, 116, 108, 97, 104, 117, 97, 99, 32, 99, 111, 108, 111, 110, 105, 97, 32, 115, 101, 108, 101, 110, 101, 32, 99, 100, 109, 120, 32, 109, 117, 121, 32, 97, 109, 112, 108, 105, 97, 109, 97, 114, 32, 100, 101, 32, 108, 97, 115, 32, 108, 108, 117, 118, 105, 97, 115, 32, 108, 111, 116, 101, 32, 32, 109, 97, 110, 122, 97, 110, 97, 32]",11400000,9,649,0,TLAHUAC,False,MC,Departamentos,Venta
Mar De Las Lluvias Lote 5 Manzana ...,"[99, 97, 115, 97, 32, 118, 101, 110, 116, 97, 32, 116, 108, 97, 104, 117, 97, 99, 32, 99, 111, 108, 111, 110, 105, 97, 32, 115, 101, 108, 101, 110, 101, 32, 99, 100, 109, 120, 32, 109, 117, 121, 32, 97, 109, 112, 108, 105, 97, 109, 97, 114, 32, 100, 101, 32, 108, 97, 115, 32, 108, 108, 117, 118, 105, 97, 115, 32, 108, 111, 116, 101, 32, 32, 109, 97, 110, 122, 97, 110, 97, 32]",11400000,9,649,0,TLAHUAC,False,MC,Departamentos,Venta
Mar De Las Lluvias Lote 5 Manzana ...,"[99, 97, 115, 97, 32, 118, 101, 110, 116, 97, 32, 116, 108, 97, 104, 117, 97, 99, 32, 99, 111, 108, 111, 110, 105, 97, 32, 115, 101, 108, 101, 110, 101, 32, 99, 100, 109, 120, 32, 109, 117, 121, 32, 97, 109, 112, 108, 105, 97, 109, 97, 114, 32, 100, 101, 32, 108, 97, 115, 32, 108, 108, 117, 118, 105, 97, 115, 32, 108, 111, 116, 101, 32, 32, 109, 97, 110, 122, 97, 110, 97, 32]",11400000,9,649,0,TLAHUAC,False,MC,Departamentos,Venta
Mar De Las Lluvias Lote 5 Manzana ...,"[99, 97, 115, 97, 32, 118, 101, 110, 116, 97, 32, 116, 108, 97, 104, 117, 97, 99, 32, 99, 111, 108, 111, 110, 105, 97, 32, 115, 101, 108, 101, 110, 101, 32, 99, 100, 109, 120, 32, 109, 117, 121, 32, 97, 109, 112, 108, 105, 97, 109, 97, 114, 32, 100, 101, 32, 108, 97, 115, 32, 108, 108, 117, 118, 105, 97, 115, 32, 108, 111, 116, 101, 32, 32, 109, 97, 110, 122, 97, 110, 97, 32]",11400000,9,649,0,TLAHUAC,False,MC,Departamentos,Venta
"Carmen 5, Miguel Hidalgo, Tlahuac,...","[104, 101, 114, 109, 111, 115, 97, 32, 99, 97, 115, 97, 32, 112, 97, 114, 97, 32, 105, 110, 118, 101, 114, 116, 105, 114, 32, 99, 97, 114, 109, 101, 110, 32, 110, 111, 32, 32, 116, 108, 225, 104, 117, 97, 99, 32, 114, 101, 99, 117, 112, 101, 114, 97, 99, 105, 243, 110, 32, 98, 97, 110, 99, 97, 114, 105, 97, 32, 97, 32, 100, 105, 99, 97, 114, 109, 101, 110, 32, 32, 109, 105, 103, 117, 101, 108, 32, 104, 105, 100, 97, 108, 103, 111, 32, 116, 108, 225, 104, 117, 97, 99]",595302,3,178,0,TLAHUAC,False,MC,Departamentos,Venta
"Carmen 5, Miguel Hidalgo, Tlahuac,...","[104, 101, 114, 109, 111, 115, 97, 32, 99, 97, 115, 97, 32, 112, 97, 114, 97, 32, 105, 110, 118, 101, 114, 116, 105, 114, 32, 99, 97, 114, 109, 101, 110, 32, 110, 111, 32, 32, 116, 108, 225, 104, 117, 97, 99, 32, 114, 101, 99, 117, 112, 101, 114, 97, 99, 105, 243, 110, 32, 98, 97, 110, 99, 97, 114, 105, 97, 32, 97, 32, 100, 105, 99, 97, 114, 109, 101, 110, 32, 32, 109, 105, 103, 117, 101, 108, 32, 104, 105, 100, 97, 108, 103, 111, 32, 116, 108, 225, 104, 117, 97, 99]",595302,3,178,0,TLAHUAC,False,MC,Departamentos,Venta
"Carmen 5, Miguel Hidalgo, Tlahuac,...","[104, 101, 114, 109, 111, 115, 97, 32, 99, 97, 115, 97, 32, 112, 97, 114, 97, 32, 105, 110, 118, 101, 114, 116, 105, 114, 32, 99, 97, 114, 109, 101, 110, 32, 110, 111, 32, 32, 116, 108, 225, 104, 117, 97, 99, 32, 114, 101, 99, 117, 112, 101, 114, 97, 99, 105, 243, 110, 32, 98, 97, 110, 99, 97, 114, 105, 97, 32, 97, 32, 100, 105, 99, 97, 114, 109, 101, 110, 32, 32, 109, 105, 103, 117, 101, 108, 32, 104, 105, 100, 97, 108, 103, 111, 32, 116, 108, 225, 104, 117, 97, 99]",595302,3,178,0,TLAHUAC,False,MC,Departamentos,Venta
"Carmen 5, Miguel Hidalgo, Tlahuac,...","[104, 101, 114, 109, 111, 115, 97, 32, 99, 97, 115, 97, 32, 112, 97, 114, 97, 32, 105, 110, 118, 101, 114, 116, 105, 114, 32, 99, 97, 114, 109, 101, 110, 32, 110, 111, 32, 32, 116, 108, 225, 104, 117, 97, 99, 32, 114, 101, 99, 117, 112, 101, 114, 97, 99, 105, 243, 110, 32, 98, 97, 110, 99, 97, 114, 105, 97, 32, 97, 32, 100, 105, 99, 97, 114, 109, 101, 110, 32, 32, 109, 105, 103, 117, 101, 108, 32, 104, 105, 100, 97, 108, 103, 111, 32, 116, 108, 225, 104, 117, 97, 99]",595302,3,178,0,TLAHUAC,False,MC,Departamentos,Venta
"La Hebrea, Miguel Hidalgo, Ciudad ...","[111, 112, 111, 114, 116, 117, 110, 105, 100, 97, 100, 32, 99, 97, 115, 97, 32, 100, 117, 112, 108, 101, 120, 32, 114, 101, 109, 97, 116, 101, 32, 32, 108, 97, 32, 104, 101, 98, 114, 101, 97, 32, 109, 105, 103, 117, 101, 108, 32, 104, 105, 100, 97, 108, 103, 111, 32, 99, 105, 117, 100, 97, 100, 32]",1000000,3,66,0,TLAHUAC,True,MC,Departamentos,Venta
"La Hebrea, Miguel Hidalgo, Ciudad ...","[111, 112, 111, 114, 116, 117, 110, 105, 100, 97, 100, 32, 99, 97, 115, 97, 32, 100, 117, 112, 108, 101, 120, 32, 114, 101, 109, 97, 116, 101, 32, 32, 108, 97, 32, 104, 101, 98, 114, 101, 97, 32, 109, 105, 103, 117, 101, 108, 32, 104, 105, 100, 97, 108, 103, 111, 32, 99, 105, 117, 100, 97, 100, 32]",1000000,3,66,0,TLAHUAC,True,MC,Departamentos,Venta
"La Hebrea, Miguel Hidalgo, Ciudad ...","[111, 112, 111, 114, 116, 117, 110, 105, 100, 97, 100, 32, 99, 97, 115, 97, 32, 100, 117, 112, 108, 101, 120, 32, 114, 101, 109, 97, 116, 101, 32, 32, 108, 97, 32, 104, 101, 98, 114, 101, 97, 32, 109, 105, 103, 117, 101, 108, 32, 104, 105, 100, 97, 108, 103, 111, 32, 99, 105, 117, 100, 97, 100, 32]",1000000,3,66,0,TLAHUAC,True,MC,Departamentos,Venta
